320450,-47,-1341,-32,-47,-30,-74,182,7782,-248,-126,,1342.204902
320458,-49,-1333,24,-36,-53,-80,182,7782,-248,-126,,1334.116187
320483,-47,-1335,29,-48,-43,-87,163,7771,-221,-127,,1336.141834
320491,-54,-1351,34,-60,-47,-87,163,7771,-221,-127,,1352.506192
320497,-76,-1333,24,-64,-33,-93,163,7771,-221,-127,,1335.38047
320505,-76,-1333,24,-60,0,-91,159,7775,-221,-126,,1335.38047
320512,-81,-1330,-10,-60,0,-91,159,7775,-221,-126,,1332.501782
320520,-60,-1341,-49,-69,45,-99,159,7775,-221,-126,,1343.235646
320526,-37,-1343,-27,-67,32,-105,171,7774,-213,-127,,1343.78086
320534,-37,-1343,-27,-67,32,-105,171,7774,-213,-127,,1343.78086
320540,-24,-1335,4,-61,-1,-115,171,7774,-213,-127,,1335.221704
320548,-17,-1347,5,-53,13,-116,169,7770,-230,-127,,1347.11655
320575,-34,-1343,-4,-67,-2,-98,167,7787,-232,-126,,1343.436266
320581,-14,-1333,5,-75,-32,-99,167,7764,-189,-126,,1333.082893
320589,-27,-1339,-22,-73,-30,-96,152,7764,-189,-126,,1339.452873
320595,-20,-1348,-69,-73,-30,-96,152,7764,-189,-126,,1349.91296
320604,-20,-1348,-69,-61,-41,-94,143,7783,-241,-127,,1349.91296
320610,-20,-1339,-56,-63,-28,-93,143,7783,-241,-127,,1340.319738
320618,-24,-1331,-72,-63,-28,-93,143,7783,-241,-127,,1333.162031
320624,-24,-1338,-22,-55,-53,-86,160,7778,-234,-127,,1338.396055
320630,2,-1338,-22,-42,-52,-79,160,7778,-234,-127,,1338.182349
320638,4,-1347,12,-42,-52,-79,160,7778,-234,-127,,1347.05939
320665,-20,-1330,-76,-56,-29,-62,162,7765,-200,-127,,1332.319781
320671,-20,-1330,-76,-44,-61,-57,162,7765,-200,-127,,1332.319781
320679,-18,-1340,-60,-44,-61,-57,162,7765,-200,-127,,1341.46338
320686,-13,-1345,-42,-23,-33,-60,160,7778,-201,-127,,1345.718396
320694,-11,-1329,-19,-18,-18,-52,160,7778,-201,-127,,1329.181327
320700,-11,-1329,-19,-18,-18,-52,164,7783,-231,-128,,1329.181327
320708,-19,-1332,-5,-27,-58,-51,164,7783,-231,-128,,1332.144887
320714,-61,-1352,-5,-29,-98,-46,164,7783,-231,-128,,1353.384646
320722,-61,-1352,-5,-29,-98,-46,165,7769,-208,-126,,1353.384646
320729,-65,-1329,17,-29,-56,-49,165,7769,-208,-126,,1330.697186
320755,-68,-1336,-25,-37,-40,-72,181,7760,-225,-127,,1337.963004
320763,-37,-1327,0,-37,-40,-72,179,7776,-152,-127,,1327.515725
320770,-37,-1327,0,-29,12,-80,179,7776,-152,-127,,1327.515725
320778,-29,-1335,19,-35,17,-69,179,7776,-152,-127,,1335.450111
320784,-27,-1355,-3,-35,17,-69,181,7772,-178,-127,,1355.272297
320792,-27,-1355,-3,-57,-54,-66,181,7772,-178,-127,,1355.272297
320798,-67,-1340,0,-60,-98,-76,176,7761,-194,-127,,1341.673954
